"","Seller_ID","Product","Seller","Star","No.ofRatings","Price","Shipping_Info","COD","Positive","Amazon_Fulfilled","URL","Rev_URL"
"749","A2FDXW7U971264","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","OEGS",NA,NA,"  Rs. 600.00"," FREE Delivery. 
","  Rs. 600.00 FREE Delivery.Cash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_5/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A2FDXW7U971264","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2FDXW7U971264&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"750","A2S98OP9O6NQ4P","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","Health Pride","3.6","1,947","  Rs. 685.00"," FREE Delivery. Details 
","  Rs. 685.00 FREE Delivery. Cash on Delivery eligible ","63% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_6/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=1&seller=A2S98OP9O6NQ4P","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2S98OP9O6NQ4P&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"751","A37Z3OLGM36W7","Top-Lite 12 Watt Led Bulb(Pack Of 10)...",NA,"3.0","125","  Rs. 685.00"," FREE Delivery. Details 
","  Rs. 685.00 FREE Delivery. Cash on Delivery eligible ","45% positive","1","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_7/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=1&seller=A37Z3OLGM36W7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A37Z3OLGM36W7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"752","AR6OV4LH8NC27","Top-Lite 12 Watt Led Bulb(Pack Of 10)...",NA,"4.1","31","  Rs. 622.00"," +   Rs. 66.96
Delivery 
","  Rs. 622.00 +   Rs. 66.96  Delivery","77% positive.","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_8/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=AR6OV4LH8NC27","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=AR6OV4LH8NC27&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"753","A2JPKTMM2L0H9P","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","pears communication",NA,NA,"  Rs. 635.00"," +   Rs. 55.17
Delivery 
","  Rs. 635.00 +   Rs. 55.17  Delivery","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_9/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A2JPKTMM2L0H9P","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2JPKTMM2L0H9P&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"754","APJGLT148OJU7","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","SUNLIKE","2.8","6","  Rs. 651.00"," +   Rs. 40.00
Delivery 
","  Rs. 651.00 +   Rs. 40.00  DeliveryCash on Delivery eligible ","50% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_10/275-6975812-7499647?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=APJGLT148OJU7","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=APJGLT148OJU7&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"755","A271C7FO3AMM0F","Top-Lite 12 Watt Led Bulb(Pack Of 10)...",NA,"3.2","63","  Rs. 698.00"," FREE Delivery. 
","  Rs. 698.00 FREE Delivery.Cash on Delivery eligible ","51% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_1/275-6343621-6829350?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A271C7FO3AMM0F","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A271C7FO3AMM0F&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"756","A2BHNATJZ97HT6","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","B2B Alliances","1.5","2","  Rs. 673.00"," +   Rs. 30.00
Delivery 
","  Rs. 673.00 +   Rs. 30.00  DeliveryCash on Delivery eligible ","0% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_2/275-6343621-6829350?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A2BHNATJZ97HT6","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A2BHNATJZ97HT6&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"757","A3DUG5COVC6JWO","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","homeekart retail","4.3","375","  Rs. 619.00"," +   Rs. 100.00
Delivery 
","  Rs. 619.00 +   Rs. 100.00  DeliveryCash on Delivery eligible ","86% positive","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_rating_3/275-6343621-6829350?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=A3DUG5COVC6JWO","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=A3DUG5COVC6JWO&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
"758","ACN34EMNV7PBK","Top-Lite 12 Watt Led Bulb(Pack Of 10)...","BLUE LOTUSS",NA,NA,"  Rs. 588.00"," +   Rs. 151.05
Delivery 
","  Rs. 588.00 +   Rs. 151.05  DeliveryCash on Delivery eligible ","Just Launched","0","http://www.amazon.in/gp/aag/main/ref=olp_merch_new_seller_4/275-6343621-6829350?ie=UTF8&asin=B00TN727AW&isAmazonFulfilled=0&seller=ACN34EMNV7PBK","http://www.amazon.in/gp/aag/ajax/paginatedFeedback.html?seller=ACN34EMNV7PBK&isAmazonFulfilled=1&isCBA=&marketplaceID=A21TJRUUN4KGV&asin=B00IAPD2X4&ref_=aag_m_fb&&currentPage=1"
