"","Seller_ID","Rating","Review","Reviewer_Date"
"206","A1QYA8GLZZ4ZXK","4/5:","""Good product. It would be nice if the price could be reduced a bit."""," Kishore Kumar Y K, 18 January 2016"
"207","A1QYA8GLZZ4ZXK","1/5:","""The measuring spoon were broken"""," Avnish R., 18 January 2016"
"208","A1QYA8GLZZ4ZXK","1/5:","""Product received is different from the images used. No detachment of trays' can happen. The built quality is poor."""," Anuj Arora, 18 January 2016"
"209","A1QYA8GLZZ4ZXK","3/5:","""good"""," sailaja , 17 January 2016"
"210","A1QYA8GLZZ4ZXK","5/5:","""nice and useful.. cool transactions with amazon always.."""," Rahul Raj E P, 17 January 2016"
"211","A1QYA8GLZZ4ZXK","1/5:","""Money taken, item never delivered, seller never made contact."""," LG, 16 January 2016"
"212","A1QYA8GLZZ4ZXK","4/5:","""The product was as described and is very useful..service was prompt and good"""," Shweta G., 16 January 2016"
"213","A1QYA8GLZZ4ZXK","4/5:","""It is fine"""," Aditya J., 16 January 2016"
"214","A1QYA8GLZZ4ZXK","5/5:","""good"""," Amazon Customer, 16 January 2016"
"215","A1QYA8GLZZ4ZXK","5/5:","""all is well"""," DILIP SEN, 15 January 2016"
"216","A1QYA8GLZZ4ZXK","1/5:","""Product can was damaged...Rs 1700 products and product can damaged.....lesson leart by me"""," Chandrashekhar, 15 January 2016"
"217","A1QYA8GLZZ4ZXK","4/5:","""Liht weight &not perfect fit."""," arvindsharma, 15 January 2016"
"218","A1QYA8GLZZ4ZXK","4/5:","""The bristles are poorly finished with extra material on the tips. Also, the handle should be made of silicone instead of plastic since it gets heated very quickly."""," Beauven, 15 January 2016"
"219","A1QYA8GLZZ4ZXK","5/5:","""Good"""," Rekha , 15 January 2016"
"220","A1QYA8GLZZ4ZXK","5/5:","""The item is excellent"""," ThomasKurian, 15 January 2016"
"221","A1QYA8GLZZ4ZXK","5/5:","""Not delivered at home"""," Amazon Customer, 15 January 2016"
"222","A1QYA8GLZZ4ZXK","4/5:","""rate too high"""," chandu, 15 January 2016"
"223","A1QYA8GLZZ4ZXK","5/5:","""I got the product delivered before time and its quite useful"""," Prachi, 14 January 2016"
"224","A1QYA8GLZZ4ZXK","5/5:","""great seller"""," Amazon Customer, 13 January 2016"
"225","A1QYA8GLZZ4ZXK","1/5:","""I did not receive  this item till now..

But other items from amazon I received on my this address.

Please ensure the delivery .."""," Dr. J., 13 January 2016"
"226","A1QYA8GLZZ4ZXK","5/5:","""It's very useful and very good quality product received. Really happy!!!"""," Sai Nagaraju, 13 January 2016"
"227","A1QYA8GLZZ4ZXK","5/5:","""Good and useful item ,very much Satisfied"""," S.K.Ahluwalia, 13 January 2016"
